               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06612,             0.02735,            0.056838,            0.077486,             0.43748,            0.062612,            0.033819,            0.025478,            0.013997,            0.041592,             0.00106,             0.00106,             0.09046
                   1,             0.04233,            0.022409,            0.053568,            0.079838,             0.46321,            0.072284,             0.03465,            0.023515,            0.010626,            0.039984,           0.0021281,           0.0021281,            0.080828
                   2,            0.036674,            0.020885,            0.052706,            0.088357,             0.42053,            0.090503,            0.054012,            0.021559,           0.0091339,             0.03988,           0.0031886,           0.0031886,            0.071189
                   3,            0.034058,            0.019575,            0.054039,             0.10011,             0.48686,             0.10435,            0.073926,            0.014951,           0.0080099,            0.039261,            0.004236,            0.004236,            0.061536
                   4,            0.032822,            0.018623,            0.052713,              0.1044,             0.53903,             0.11742,             0.06577,            0.023468,           0.0079851,            0.039642,           0.0052645,           0.0052645,            0.051865
                   5,            0.033102,            0.017636,            0.053393,              0.1035,             0.47909,             0.12106,             0.08621,            0.015115,             0.00776,            0.039238,           0.0062688,           0.0062688,            0.042169
                   6,             0.03201,             0.01753,            0.054238,             0.10587,             0.50608,             0.14498,            0.098599,            0.015303,           0.0076877,            0.038707,           0.0072436,           0.0072436,            0.032444
                   7,            0.029398,            0.016917,            0.051171,             0.11679,             0.47371,             0.15778,             0.11439,            0.015288,           0.0072552,            0.038388,           0.0081838,           0.0081838,            0.022684
                   8,            0.031112,            0.016374,            0.050941,             0.15009,             0.42383,              0.1917,             0.11895,            0.020147,           0.0080504,            0.037863,           0.0090845,           0.0090845,            0.012885
                   9,            0.028562,            0.016787,            0.049675,             0.15369,                0.53,             0.21034,             0.13825,            0.015758,           0.0074844,            0.034136,           0.0092995,           0.0092995,           0.0092995
                  10,            0.029289,            0.016136,             0.05118,              0.1533,              0.4853,              0.1886,             0.14285,            0.016225,           0.0075067,            0.032725,           0.0092995,           0.0092995,           0.0092995
                  11,            0.027979,            0.016166,            0.050333,             0.16788,             0.46691,             0.22476,             0.16245,            0.013322,           0.0073569,            0.033309,           0.0091406,           0.0091406,           0.0091406
                  12,             0.02635,            0.015589,             0.04888,             0.17683,             0.56133,             0.22088,             0.16972,            0.012449,           0.0068925,            0.032132,           0.0089673,           0.0089673,           0.0089673
                  13,            0.026199,            0.015621,            0.049032,             0.19009,              0.4899,              0.2398,             0.18628,            0.013917,           0.0072803,            0.031775,           0.0087804,           0.0087804,           0.0087804
                  14,            0.024603,            0.015291,            0.047874,             0.18028,             0.56448,              0.2505,             0.18392,            0.012647,           0.0064707,            0.032076,           0.0085805,           0.0085805,           0.0085805
                  15,            0.024632,            0.015083,             0.04961,              0.2305,              0.4484,             0.25495,             0.20694,            0.011151,            0.006447,            0.031427,           0.0083684,           0.0083684,           0.0083684
                  16,            0.023279,            0.014793,            0.047531,             0.27609,             0.41821,              0.2707,             0.22211,            0.010989,           0.0065975,            0.031627,            0.008145,            0.008145,            0.008145
                  17,            0.022153,            0.014647,            0.047611,             0.25575,             0.36801,             0.26073,             0.19553,            0.012526,           0.0063342,            0.031354,           0.0079112,           0.0079112,           0.0079112
                  18,             0.02288,            0.014358,            0.048386,             0.26777,              0.4422,             0.30852,               0.231,            0.011636,           0.0060387,            0.030538,           0.0076679,           0.0076679,           0.0076679
                  19,            0.022979,            0.014407,             0.04751,             0.28378,             0.42087,             0.30139,               0.245,             0.01258,           0.0062022,            0.030685,            0.007416,            0.007416,            0.007416
                  20,            0.022049,             0.01443,            0.045789,             0.27713,             0.45267,              0.3168,              0.2563,            0.010359,           0.0062862,            0.030827,           0.0071566,           0.0071566,           0.0071566
                  21,            0.022014,            0.014171,            0.044969,             0.26787,             0.54668,               0.331,             0.27048,            0.011777,           0.0060496,            0.028448,           0.0068906,           0.0068906,           0.0068906
                  22,            0.021247,            0.014198,             0.04494,             0.26322,              0.4796,             0.32418,             0.26776,             0.01051,           0.0061229,            0.029149,           0.0066191,           0.0066191,           0.0066191
                  23,            0.020694,            0.013921,            0.045447,             0.27436,             0.45848,             0.33501,             0.27562,            0.010209,           0.0055723,            0.029361,           0.0063432,           0.0063432,           0.0063432
                  24,            0.021077,            0.014056,            0.044742,             0.28535,              0.4434,             0.32612,             0.27693,           0.0093211,           0.0059999,            0.029189,            0.006064,            0.006064,            0.006064
                  25,            0.020293,            0.014204,            0.044688,             0.33609,              0.4854,             0.37835,             0.31623,            0.010203,           0.0057389,            0.027228,           0.0057826,           0.0057826,           0.0057826
                  26,            0.020323,            0.013462,            0.044516,             0.28743,               0.495,             0.33891,              0.2779,           0.0097477,           0.0056037,            0.030741,              0.0055,              0.0055,              0.0055
                  27,            0.019869,            0.013382,            0.042691,             0.26368,             0.57458,             0.36385,             0.30214,           0.0099076,           0.0054703,            0.030149,           0.0052174,           0.0052174,           0.0052174
                  28,            0.019689,            0.013903,            0.043148,             0.25174,             0.49107,             0.32625,             0.26637,            0.010119,           0.0055873,            0.029881,            0.004936,            0.004936,            0.004936
                  29,            0.020126,            0.013535,            0.042703,             0.34848,             0.48511,             0.39172,             0.33504,           0.0090411,           0.0051538,            0.029009,           0.0046568,           0.0046568,           0.0046568
                  30,            0.018926,            0.013163,            0.042046,             0.37561,             0.50928,             0.42723,             0.36485,           0.0086275,           0.0051343,             0.02713,           0.0043809,           0.0043809,           0.0043809
                  31,            0.018143,            0.013405,            0.040161,             0.37516,             0.56171,             0.47207,              0.4042,           0.0090077,            0.005223,            0.026081,           0.0041094,           0.0041094,           0.0041094
                  32,             0.01873,            0.012937,            0.041871,               0.489,             0.54495,              0.5343,             0.45438,           0.0099694,           0.0049721,            0.024675,           0.0038434,           0.0038434,           0.0038434
                  33,            0.018778,            0.013038,            0.040202,             0.45457,             0.48846,             0.49125,             0.42305,           0.0087403,           0.0052735,            0.026426,            0.003584,            0.003584,            0.003584
                  34,            0.018175,            0.012747,            0.038683,             0.51338,             0.53728,             0.55216,             0.46151,           0.0088408,           0.0050205,            0.025159,           0.0033321,           0.0033321,           0.0033321
                  35,            0.018521,            0.012904,            0.038454,             0.48888,             0.55364,             0.57003,             0.49435,           0.0089722,           0.0051841,            0.025292,           0.0030888,           0.0030888,           0.0030888
                  36,            0.017879,            0.012465,            0.036371,             0.60472,             0.52015,              0.5814,             0.50766,           0.0090734,           0.0050688,            0.023516,            0.002855,            0.002855,            0.002855
                  37,            0.018199,            0.012472,            0.037154,             0.56665,             0.57354,             0.61123,             0.52281,           0.0087154,           0.0051253,            0.020819,           0.0026316,           0.0026316,           0.0026316
                  38,            0.016893,            0.012384,            0.035517,             0.63046,             0.52024,             0.61379,             0.52763,           0.0091409,           0.0051042,            0.023669,           0.0024195,           0.0024195,           0.0024195
                  39,             0.01669,            0.012421,            0.035237,             0.63689,             0.53113,              0.6384,             0.55725,           0.0095578,           0.0051477,            0.022177,           0.0022196,           0.0022196,           0.0022196
                  40,            0.017401,            0.012044,            0.034401,             0.48765,             0.61853,             0.60058,             0.51607,           0.0091542,           0.0050445,            0.021038,           0.0020327,           0.0020327,           0.0020327
                  41,            0.017504,            0.012341,            0.033219,             0.61795,             0.54683,             0.62071,             0.53515,           0.0092243,           0.0050438,            0.020662,           0.0018594,           0.0018594,           0.0018594
                  42,            0.016434,            0.012099,            0.032114,             0.59712,             0.59156,             0.64632,             0.55927,           0.0086461,           0.0050945,            0.019948,           0.0017005,           0.0017005,           0.0017005
                  43,            0.016723,            0.012056,            0.031982,             0.65294,             0.55217,             0.64516,             0.56339,           0.0084499,           0.0048684,            0.018507,           0.0015566,           0.0015566,           0.0015566
                  44,            0.016156,            0.012078,            0.030715,             0.68012,             0.60955,             0.69611,             0.61214,           0.0081917,           0.0048682,            0.016578,           0.0014283,           0.0014283,           0.0014283
                  45,            0.016345,            0.011815,            0.031088,             0.64015,             0.63015,             0.66751,             0.57637,           0.0081834,           0.0047701,            0.016815,            0.001316,            0.001316,            0.001316
                  46,            0.015829,            0.011936,            0.030254,             0.82605,             0.55942,             0.72121,             0.62841,           0.0082568,           0.0048332,            0.015469,           0.0012202,           0.0012202,           0.0012202
                  47,            0.015863,            0.012079,            0.029962,             0.82448,             0.59029,             0.74282,              0.6543,            0.008174,            0.004671,            0.014355,           0.0011414,           0.0011414,           0.0011414
                  48,            0.016018,            0.011547,            0.029568,             0.77301,             0.52765,             0.68536,             0.59677,           0.0087552,           0.0046254,            0.018314,           0.0010797,           0.0010797,           0.0010797
                  49,            0.015233,            0.011779,            0.026616,             0.72016,             0.62817,             0.71769,             0.63153,           0.0079404,           0.0047169,            0.014921,           0.0010355,           0.0010355,           0.0010355
